id	oldColumnName	valueMappingId
317	howKnown	
318	howLongKnown	
319	howWellKnown	
324	_1a	5
325	_2a	5
326	_3a	5
327	_4a	5
328	_5a	5
329	_6a	5
330	_7a	5
331	_8a	5
332	_9a	5
333	_10a	5
334	_11a	5
335	_12a	5
336	_13a	5
337		
339	_14a	6
340	_15a	6
341	_16a	6
342	_17a	6
343	_18a	6
344	_19a	6
345	_20a	6
346	_21a	6
347		
349	_1sa	
350	_2sa	
351	_3sa	
352	_4sa	
359	_5sa	
361	closingRemarks
365	_6sa
373	
